age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
29,Private,Doctorate,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
27,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
32,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,45,United-States,<=50K
58,Private,10th,Married-civ-spouse,Other-service,Wife,White,Female,0,0,8,United-States,<=50K
35,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,36,United-States,<=50K
28,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
46,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Self-emp-not-inc,HS-grad,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
72,Private,11th,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,40,United-States,<=50K
33,Federal-gov,Assoc-voc,Divorced,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,>50K
69,Private,11th,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,20,,<=50K
34,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,32,United-States,<=50K
30,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
28,Private,Bachelors,Never-married,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,<=50K
54,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,>50K
47,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
24,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K
52,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,48,United-States,<=50K
43,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States,<=50K
45,Private,7th-8th,Separated,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
29,Self-emp-not-inc,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
47,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Male,0,0,42,United-States,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
17,Private,11th,Never-married,Sales,Own-child,White,Male,0,0,12,United-States,<=50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,40,United-States,>50K
27,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States,<=50K
29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,United-States,>50K
18,,12th,Never-married,,Own-child,White,Male,0,0,25,United-States,<=50K
36,Self-emp-not-inc,Assoc-acdm,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
58,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
65,,Some-college,Married-civ-spouse,,Husband,White,Male,0,0,30,United-States,>50K
57,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
59,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
31,Self-emp-not-inc,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,24,United-States,<=50K
29,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
18,Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
52,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,47,United-States,>50K
57,Self-emp-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States,<=50K
42,,HS-grad,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,<=50K
55,,HS-grad,Married-civ-spouse,,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
60,Private,7th-8th,Never-married,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,>50K
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,Canada,>50K
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
27,Private,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
23,,Some-college,Never-married,,Unmarried,Amer-Indian-Eskimo,Female,0,0,25,United-States,<=50K
42,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,>50K
25,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,2174,0,40,United-States,<=50K
49,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
32,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,28,United-States,<=50K
60,Private,7th-8th,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Local-gov,9th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
35,Self-emp-not-inc,Assoc-acdm,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
48,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States,<=50K
51,Private,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
36,Local-gov,HS-grad,Separated,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K
17,Private,10th,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,<=50K
52,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,6849,0,60,United-States,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
26,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,1055,0,40,United-States,<=50K
27,Private,Bachelors,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
39,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-States,<=50K
30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,45,United-States,<=50K
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States,<=50K
52,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
46,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,45,United-States,>50K
23,Private,Bachelors,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
45,Private,11th,Widowed,Other-service,Not-in-family,Black,Female,0,0,20,United-States,<=50K
65,Private,9th,Widowed,Priv-house-serv,Unmarried,Black,Female,0,0,24,United-States,<=50K
29,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K
47,Private,9th,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,El-Salvador,<=50K
30,Private,HS-grad,Never-married,Farming-fishing,Own-child,Black,Male,0,0,60,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,<=50K
33,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,26,United-States,>50K
47,Self-emp-not-inc,Some-college,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
49,Local-gov,10th,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
43,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,60,United-States,>50K
30,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,>50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
19,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,14,United-States,<=50K
21,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
47,Self-emp-inc,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Cuba,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
26,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,5178,0,50,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
50,Self-emp-inc,Doctorate,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
31,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
71,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States,<=50K
58,,HS-grad,Married-civ-spouse,,Husband,White,Male,0,0,50,United-States,<=50K
30,State-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
20,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
24,Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Male,4101,0,50,United-States,<=50K
35,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,>50K
38,State-gov,Some-college,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
27,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,32,United-States,<=50K
29,State-gov,Some-college,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
70,,9th,Widowed,,Unmarried,White,Female,1111,0,15,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
44,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
44,Self-emp-not-inc,12th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,>50K
35,Private,Masters,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
27,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States,<=50K
20,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
42,Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,8614,0,40,United-States,>50K
27,State-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,3411,0,40,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
20,,11th,Married-spouse-absent,,Own-child,Asian-Pac-Islander,Female,0,1762,40,South,<=50K
24,Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1721,40,United-States,<=50K
48,Federal-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,,11th,Never-married,,Own-child,White,Female,0,0,20,United-States,<=50K
17,Self-emp-not-inc,11th,Never-married,Farming-fishing,Own-child,White,Male,0,0,10,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
22,Private,HS-grad,Never-married,Sales,Own-child,White,Female,2597,0,40,United-States,<=50K
17,Private,12th,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
32,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico,<=50K
31,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
58,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
29,Local-gov,HS-grad,Never-married,Protective-serv,Own-child,White,Male,0,0,48,United-States,<=50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,>50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
23,Local-gov,Some-college,Separated,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States,<=50K
18,State-gov,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,5,United-States,<=50K
34,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
66,,7th-8th,Never-married,,Not-in-family,White,Male,0,0,4,United-States,<=50K
45,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,<=50K
41,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,Dominican-Republic,<=50K
26,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,0,0,30,United-States,<=50K
54,Local-gov,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,45,United-States,<=50K
42,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
20,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,<=50K
23,State-gov,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K
25,,Assoc-acdm,Never-married,,Other-relative,White,Male,0,0,45,United-States,<=50K
35,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,>50K
31,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40,United-States,>50K
30,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,Poland,<=50K
19,Private,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
36,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
31,Private,Bachelors,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba,<=50K
21,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K
31,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,Doctorate,Divorced,Prof-specialty,Unmarried,White,Female,25236,0,65,United-States,>50K
44,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Female,0,0,50,United-States,>50K
40,Private,12th,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Jamaica,<=50K
45,Private,Some-college,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
18,Private,11th,Never-married,Other-service,Other-relative,White,Male,0,0,25,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
36,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,,<=50K
40,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,4386,0,40,United-States,<=50K
36,Local-gov,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,Honduras,<=50K
31,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
19,State-gov,HS-grad,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
22,Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
33,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,60,United-States,<=50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,4650,0,40,United-States,<=50K
50,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,45,United-States,>50K
43,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,,>50K
44,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
20,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
65,Self-emp-not-inc,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,9386,0,59,,>50K
23,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,<=50K
55,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
26,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K
25,Private,Assoc-voc,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
45,,Some-college,Married-civ-spouse,,Wife,Black,Female,0,0,40,United-States,<=50K
35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,40,United-States,<=50K
36,Private,Some-college,Never-married,Sales,Not-in-family,Black,Female,0,0,36,United-States,<=50K
43,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
56,Private,HS-grad,Widowed,Other-service,Unmarried,Black,Female,594,0,20,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
19,Private,Some-college,Never-married,Other-service,Other-relative,White,Female,0,0,25,United-States,<=50K
55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K
42,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,50,United-States,>50K
26,Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
17,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
42,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
55,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States,>50K
32,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
29,Private,11th,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,Haiti,<=50K
46,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
29,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,>50K
22,Private,Bachelors,Never-married,Prof-specialty,Unmarried,White,Male,0,0,20,United-States,<=50K
58,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,HS-grad,Never-married,Transport-moving,Unmarried,White,Male,0,0,50,United-States,<=50K
39,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,Assoc-voc,Never-married,Craft-repair,Own-child,White,Male,0,0,38,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
33,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
46,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
37,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,<=50K
36,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K
59,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,>50K
34,Local-gov,HS-grad,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,Portugal,<=50K
53,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
51,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-States,>50K
32,Private,10th,Separated,Other-service,Unmarried,White,Female,0,0,42,United-States,<=50K
31,State-gov,Some-college,Married-spouse-absent,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
22,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,Germany,<=50K
47,Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K
32,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,38,United-States,<=50K
37,Private,5th-6th,Separated,Farming-fishing,Not-in-family,White,Male,0,0,32,Guatemala,<=50K
31,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,0,0,55,United-States,<=50K
37,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,>50K
55,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
23,Local-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,0,0,56,United-States,<=50K
36,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
34,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,,<=50K
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
54,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,,<=50K
28,Private,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,1669,42,United-States,<=50K
40,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
41,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
40,Private,Bachelors,Never-married,Sales,Not-in-family,Other,Female,0,0,55,United-States,>50K
42,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,38,United-States,<=50K
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K
18,Private,12th,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,United-States,<=50K
59,,HS-grad,Married-civ-spouse,,Husband,White,Male,0,0,16,United-States,<=50K
21,,HS-grad,Never-married,,Not-in-family,White,Female,1055,0,40,United-States,<=50K
48,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
41,Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
18,,Some-college,Never-married,,Own-child,White,Male,0,0,33,United-States,<=50K
23,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,2463,0,40,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
22,Private,Some-college,Never-married,Other-service,Other-relative,Black,Male,0,0,20,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
46,Private,Masters,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,>50K
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,England,>50K
43,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,0,1721,30,United-States,<=50K
68,Self-emp-not-inc,11th,Never-married,Farming-fishing,Unmarried,White,Male,0,0,20,United-States,<=50K
31,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
17,Private,11th,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,48,United-States,>50K
50,,Masters,Married-spouse-absent,,Other-relative,White,Male,0,0,40,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,47,United-States,>50K
64,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
20,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States,<=50K
30,Private,HS-grad,Separated,Other-service,Own-child,White,Female,0,0,36,United-States,<=50K
22,,Some-college,Never-married,,Own-child,Black,Male,0,0,40,United-States,<=50K
43,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
